SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
165722.09+395551.5  254.342072  39.930997   0.5788  17.985  0.016   17.737  0.015   17.674  0.012   17.516  0.017   17.588  0.024   16.211  -9.000  16.467  0.114   15.507  0.120   14.714  0.087   -24.920
165722.24+333540.2  254.342689  33.594527   2.9468  20.990  0.069   19.283  0.015   19.094  0.014   19.050  0.017   19.116  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.231
165726.03+332440.6  254.358491  33.411289   0.8713  19.494  0.027   19.133  0.014   18.962  0.013   19.064  0.019   18.977  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.389
165728.50+415836.8  254.368780  41.976905   2.0723  19.335  0.026   19.395  0.017   19.336  0.023   19.154  0.024   18.911  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.342
165732.29+333918.6  254.384557  33.655193   0.8078  19.557  0.028   19.164  0.014   19.038  0.015   19.111  0.020   18.937  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.138
165734.14+384159.0  254.392257  38.699745   1.5140  19.678  0.038   19.347  0.015   19.306  0.016   19.172  0.018   19.211  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.580
165734.19+320426.6  254.392497  32.074083   3.7480  24.598  1.083   21.342  0.043   20.183  0.024   20.100  0.032   20.025  0.130   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.719
165734.65+371551.3  254.394396  37.264251   2.4253  20.908  0.074   20.110  0.021   20.050  0.023   20.089  0.032   20.071  0.116   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.746
165735.03+401641.8  254.395968  40.278303   1.3331  19.513  0.028   19.260  0.018   18.804  0.015   18.724  0.016   18.667  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.736
165737.30+604939.3  254.405443  60.827586   0.3132  18.700  0.017   18.659  0.022   18.616  0.022   18.687  0.021   18.198  0.033   0.000   -1.997  0.000   0.000   0.000   0.000   0.000   0.000   -22.269
165739.53+341128.8  254.414719  34.191342   0.7051  18.661  0.023   18.336  0.014   18.328  0.013   18.377  0.015   18.294  0.028   0.000   -1.603  17.194  0.207   16.749  0.340   15.633  0.200   -24.536
165739.83+350426.9  254.415988  35.074149   1.9539  18.169  0.017   18.168  0.013   18.097  0.013   17.940  0.012   17.783  0.021   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.398
165740.03+304255.8  254.416820  30.715525   1.5138  18.652  0.027   18.279  0.014   18.131  0.015   17.997  0.021   17.974  0.031   0.000   -9.000  17.309  0.243   16.241  0.206   15.960  0.235   -26.788
165741.36+355810.8  254.422364  35.969686   2.1154  20.077  0.042   19.947  0.021   19.924  0.023   19.808  0.024   19.517  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.717
165742.82+393807.5  254.428446  39.635422   0.9907  17.812  0.018   17.623  0.015   17.365  0.009   17.336  0.014   17.326  0.016   0.000   -9.000  15.946  0.079   15.799  0.143   15.256  0.140   -26.401
165745.45+365151.4  254.439391  36.864284   1.5338  18.930  0.024   18.446  0.015   18.271  0.014   17.972  0.016   17.952  0.030   0.000   -9.000  17.002  0.198   16.118  0.197   15.669  0.192   -26.807
165748.31+374353.2  254.451298  37.731463   1.2967  19.178  0.025   19.226  0.018   18.843  0.018   18.794  0.016   18.737  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.594
165749.65+345149.0  254.456898  34.863630   1.6415  19.535  0.029   19.060  0.014   18.862  0.018   18.628  0.014   18.598  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.310
165751.68+355318.0  254.465367  35.888357   3.0049  20.452  0.054   19.386  0.022   19.236  0.019   19.187  0.021   19.275  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.120
165752.31+390412.2  254.468000  39.070069   1.0722  18.813  0.025   18.781  0.022   18.608  0.018   18.741  0.014   18.773  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.189
165753.20+343145.6  254.471669  34.529357   0.9924  18.501  0.019   18.358  0.016   18.328  0.016   18.412  0.015   18.354  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.328
165755.53+604002.5  254.481401  60.667382   2.3548  19.132  0.026   18.526  0.021   18.514  0.026   18.470  0.026   18.294  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.310
165758.72+334955.3  254.494679  33.832054   1.7458  18.927  0.026   18.723  0.014   18.699  0.012   18.529  0.013   18.506  0.033   15.850  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.556
165801.42+344328.4  254.505951  34.724558   1.9390  17.926  0.016   17.975  0.014   17.978  0.015   17.670  0.013   17.592  0.021   9.878   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.657
165802.63+360504.1  254.510959  36.084486   2.1158  18.288  0.019   18.175  0.017   18.144  0.017   18.002  0.014   17.785  0.021   12.224  -1.743  0.000   0.000   0.000   0.000   0.000   0.000   -27.523
165805.24+333207.8  254.521857  33.535507   2.8414  22.128  0.203   20.452  0.022   20.315  0.025   20.113  0.030   20.045  0.106   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.085
165806.76+611858.9  254.528177  61.316382   1.4125  24.082  0.941   22.815  0.127   20.696  0.037   19.466  0.021   18.593  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.140
165806.98+324827.4  254.529117  32.807626   1.2340  19.110  0.026   18.743  0.016   18.460  0.013   18.339  0.016   18.246  0.027   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.946
165812.11+341010.6  254.550481  34.169627   1.6605  18.409  0.019   18.263  0.014   18.217  0.014   18.007  0.013   18.027  0.024   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.964
165815.21+355922.4  254.563388  35.989581   2.5556  20.460  0.054   19.973  0.022   20.023  0.024   19.881  0.024   19.734  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.070
165815.62+364839.6  254.565091  36.811002   1.0618  20.556  0.050   20.318  0.021   19.992  0.025   20.055  0.026   20.141  0.101   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.846
165816.47+342809.8  254.568663  34.469410   1.7008  19.028  0.023   18.487  0.016   18.393  0.016   18.134  0.014   18.067  0.027   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.890
165818.39+331950.8  254.576647  33.330799   0.7168  17.797  0.016   17.373  0.012   17.395  0.012   17.564  0.013   17.448  0.018   0.000   -1.537  16.209  0.102   15.835  0.138   15.057  0.111   -25.404
165819.52+623823.1  254.581357  62.639753   0.7031  20.490  0.054   19.942  0.037   19.923  0.116   19.925  0.189   19.800  0.222   15.967  -1.758  16.752  0.173   15.795  0.185   14.766  0.131   -23.031
165819.67+313330.8  254.581958  31.558571   2.0250  19.386  0.030   19.365  0.026   19.149  0.017   18.892  0.021   18.731  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.574
165820.35+373315.5  254.584793  37.554324   1.7102  19.259  0.026   19.105  0.018   19.165  0.015   19.001  0.019   18.988  0.044   14.743  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.032
165822.32+615455.0  254.593030  61.915283   0.3763  19.639  0.035   19.514  0.027   19.280  0.023   19.075  0.021   18.654  0.038   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.363
165824.32+313116.4  254.601372  31.521229   0.7032  18.332  0.019   17.662  0.025   17.654  0.015   17.511  0.018   17.335  0.024   0.000   -9.000  15.939  0.080   15.256  0.090   14.301  0.059   -25.438
165825.14+384402.1  254.604770  38.733938   0.7608  19.257  0.033   18.997  0.014   18.953  0.014   18.999  0.017   18.798  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.101
165825.63+355652.5  254.606807  35.947932   1.0004  18.730  0.022   18.573  0.021   18.466  0.017   18.510  0.018   18.481  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.247
165828.92+363902.9  254.620512  36.650823   0.8306  19.494  0.028   19.358  0.017   19.334  0.020   19.356  0.019   19.154  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.947
165829.48+332604.8  254.622846  33.434675   3.0804  22.342  0.234   19.511  0.017   19.354  0.015   19.369  0.020   19.339  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.006
165829.69+402014.6  254.623741  40.337412   1.7125  19.224  0.032   18.947  0.014   18.721  0.011   18.538  0.017   18.309  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.516
165834.88+391751.0  254.645354  39.297526   1.0740  20.154  0.039   19.674  0.020   19.144  0.014   18.995  0.018   18.937  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.939
165836.51+370840.1  254.652161  37.144483   2.2367  20.810  0.061   20.523  0.023   20.609  0.028   20.456  0.038   20.075  0.108   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.194
165837.27+354211.9  254.655295  35.703309   2.2446  20.185  0.042   19.471  0.018   19.266  0.016   19.199  0.019   18.852  0.037   14.881  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.463
165840.20+391918.7  254.667515  39.321887   0.8415  18.657  0.018   18.315  0.017   18.278  0.013   18.419  0.015   18.311  0.027   0.000   -1.728  0.000   0.000   0.000   0.000   0.000   0.000   -24.927
165840.31+350315.8  254.667972  35.054411   2.4302  21.322  0.100   20.340  0.021   20.353  0.027   20.307  0.039   20.004  0.090   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.529
165848.59+305846.9  254.702476  30.979704   1.2986  18.948  0.025   18.860  0.015   18.577  0.018   18.600  0.021   18.613  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.819
165852.57+381458.4  254.719076  38.249559   0.8583  19.081  0.023   18.655  0.016   18.510  0.013   18.546  0.017   18.460  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.847
165855.19+375853.6  254.729979  37.981578   3.6408  23.976  0.610   20.264  0.021   19.098  0.016   18.994  0.015   18.775  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.740
165855.48+350016.0  254.731181  35.004468   0.8496  19.505  0.027   19.206  0.016   19.068  0.016   18.983  0.017   18.808  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.380
165859.85+361525.3  254.749389  36.257031   1.0123  20.519  0.047   20.489  0.023   20.365  0.025   20.424  0.035   20.305  0.112   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.362
165903.64+352423.4  254.765175  35.406527   1.2189  20.580  0.060   20.424  0.022   19.912  0.020   19.742  0.023   19.814  0.075   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.489
165904.16+623012.3  254.767349  62.503439   0.2804  18.926  0.025   18.892  0.022   18.658  0.017   18.572  0.018   18.083  0.031   0.000   -9.000  16.176  0.100   16.006  0.192   14.947  0.120   -22.176
165904.37+313044.0  254.768217  31.512244   0.7106  17.593  0.016   17.347  0.024   17.289  0.015   17.285  0.018   17.266  0.024   0.000   -9.000  16.255  0.110   15.920  0.167   15.042  0.105   -25.688
165904.77+412539.4  254.769909  41.427631   0.7840  18.452  0.017   18.188  0.019   18.120  0.013   18.199  0.019   18.049  0.024   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.980
165905.46+633923.6  254.772760  63.656570   0.3676  19.030  0.030   18.695  0.021   18.475  0.020   18.528  0.029   17.993  0.027   0.000   -9.000  17.043  0.183   16.550  0.299   15.451  0.174   -22.832
165907.29+342504.0  254.780407  34.417792   2.2215  19.181  0.025   18.689  0.017   18.503  0.014   18.437  0.013   18.207  0.023   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.205
165907.78+374413.5  254.782428  37.737104   0.7701  20.933  0.074   20.318  0.024   20.231  0.026   20.306  0.040   19.785  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.824
165912.67+400359.1  254.802829  40.066420   1.5543  19.454  0.029   19.329  0.019   19.240  0.017   18.987  0.014   18.997  0.048   14.633  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.832
165912.83+371836.1  254.803468  37.310039   1.7234  20.433  0.047   20.260  0.020   20.288  0.024   20.105  0.032   20.055  0.104   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.940
165914.54+380900.7  254.810605  38.150217   2.3428  18.704  0.020   18.139  0.013   18.123  0.010   18.116  0.012   17.852  0.021   0.000   -9.000  16.646  0.133   16.805  0.100   15.401  0.168   -27.645
165917.20+345303.6  254.821676  34.884350   1.3326  20.447  0.051   20.046  0.020   19.773  0.020   19.697  0.027   19.812  0.077   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.752
165919.23+370446.6  254.830162  37.079639   1.2384  20.671  0.055   20.279  0.022   19.732  0.021   19.598  0.024   19.547  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.671
165919.97+374332.7  254.833223  37.725757   1.0249  20.064  0.040   19.712  0.018   19.254  0.015   19.174  0.018   19.136  0.043   12.783  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.649
165920.92+392647.0  254.837183  39.446411   1.5510  19.310  0.028   19.102  0.016   18.960  0.014   18.794  0.018   18.841  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.020
165922.71+313158.1  254.844625  31.532811   0.7833  18.664  0.023   18.337  0.017   18.321  0.015   18.285  0.019   18.191  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.921
165931.91+373528.7  254.882997  37.591330   0.7713  18.058  0.019   17.650  0.017   17.590  0.014   17.737  0.013   17.591  0.019   13.243  -1.614  16.430  0.113   16.490  0.271   15.418  0.167   -25.402
165931.93+312746.7  254.883076  31.462999   3.6175  25.262  1.050   21.029  0.035   19.817  0.021   19.516  0.028   19.530  0.086   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.244
165933.76+605833.9  254.890679  60.976108   1.2144  19.138  0.024   19.126  0.015   18.936  0.018   18.931  0.017   19.057  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.302
165936.61+401333.2  254.902557  40.225911   1.9604  19.544  0.030   19.437  0.019   19.299  0.016   19.105  0.021   18.853  0.053   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.264
165936.94+362205.2  254.903930  36.368113   0.4781  18.731  0.022   18.566  0.015   18.754  0.018   18.624  0.022   18.824  0.065   0.000   -1.472  0.000   0.000   0.000   0.000   0.000   0.000   -23.342
165939.34+310622.6  254.913952  31.106278   1.8404  18.320  0.024   18.244  0.013   18.243  0.011   17.983  0.017   17.991  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.253
165939.84+381039.3  254.916011  38.177607   1.3985  19.250  0.026   19.269  0.015   18.949  0.012   18.876  0.015   18.837  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.692
165940.02+370548.7  254.916790  37.096874   1.3895  20.449  0.048   20.435  0.024   20.161  0.025   20.099  0.030   20.509  0.146   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.446
165942.36+370124.1  254.926539  37.023384   1.5012  20.949  0.070   20.090  0.018   20.174  0.025   19.820  0.028   19.638  0.069   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.910
165943.07+375422.7  254.929487  37.906314   1.0383  19.470  0.031   19.408  0.017   19.184  0.015   19.167  0.019   19.193  0.046   14.686  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.688
165945.81+374636.8  254.940895  37.776912   1.0251  19.572  0.033   19.232  0.017   19.000  0.014   19.037  0.018   19.050  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.789
165946.60+615947.5  254.944175  61.996548   0.6658  19.879  0.036   19.355  0.020   19.167  0.022   18.944  0.020   18.918  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.874
165951.03+351322.2  254.962662  35.222838   0.7273  19.097  0.024   18.854  0.019   18.786  0.022   18.757  0.013   18.705  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.239
165951.92+410827.2  254.966365  41.140899   1.8849  18.688  0.019   18.580  0.014   18.534  0.013   18.412  0.019   18.497  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.873
165951.97+622758.6  254.966581  62.466295   1.3249  19.365  0.029   19.338  0.023   19.089  0.018   19.016  0.020   18.946  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.462
165953.50+400606.1  254.972957  40.101719   1.6587  19.252  0.031   19.059  0.017   18.969  0.015   18.721  0.017   18.696  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.257
165953.58+360009.2  254.973270  36.002579   1.8635  19.609  0.029   19.515  0.028   19.548  0.025   19.297  0.021   19.237  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.936
165958.93+620218.1  254.995569  62.038382   0.2323  17.907  0.022   17.919  0.019   17.798  0.020   17.394  0.017   17.511  0.021   0.000   -1.749  15.983  0.111   15.134  0.113   14.319  0.086   -22.883
